parish_index,name,diocese,site_url,page_url,sources
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/bfxs-hallow-1,"homepage_link, sitemap"
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/40-days-for-life-mobile-campaign-1,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/are-you-or-a-loved-one-sick,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/building-progress-update,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/building-progress-update-aug-2021,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/building-progress-update-nov-2021,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/building-progress-update-oct-2021,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/formedorg,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/ground-breaking,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/join-us-for-sunday-school-2023-registration-begins-july-30th,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/join-us-for-vacation-bible-school,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/many-thanks-to-our-gracious-hosts,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/men-of-st-joseph-breakfast-sat-1204,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/parish-picnic-a-success-2021-celebration-of-blessed-francis-feast-day-1005,sitemap
2,Blessed Francis Xavier Seelos Parish,Archdiocese of Mobile,https://francisxseelos.org/,https://francisxseelos.org/blog/say-yes-to-vbs,sitemap
