diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
St. Nicholas of Chicago for Ukrainians,2245 W. Rice Street,Chicago,IL,https://www.chicagougcc.org/,,,FALSE
St. Thomas Syro Malabar Diocese of Chicago,372 South Prairie Avenue,Elmhurst,IL,http://www.stthomasdiocese.org/,https://stthomasdiocese.org/parishes/,,FALSE
Archdiocese of Chicago,835 N. Rush Street,Chicago,IL,http://www.archchicago.org/,https://www.archchicago.org/parish-map,,FALSE
Diocese of Belleville,222 South Third Street,Belleville,IL,http://www.diobelle.org/,https://www.diobelle.org/directory/parishes,,FALSE
Diocese of Joliet,"Blenchette Catholic Center, 16555 Weber Road",Crest Hill,IL,http://www.dioceseofjoliet.org/,https://www.diojoliet.org/parishes,,FALSE
Diocese of Peoria,"Spalding Pastoral Center, 419 N.E. Madison Avenue",Peoria,IL,http://www.cdop.org/,https://www.cdop.org/parishes,,FALSE
Diocese of Rockford,"555 Coleman Center Drive, P.O. Box 7044",Rockford,IL,http://www.rockforddiocese.org/,https://www.rockforddiocese.org/parishes/?search=name,,FALSE
Diocese of Springfield in Illinois,1615  West Washington Street,Springfield,IL,http://www.dio.org/,https://dio.org/view/parish-directory/,,FALSE
Archdiocese of Indianapolis,1400 N. Meridian Street,Indianopolis,IN,http://www.archindy.org/,https://www.archindy.org/parishfinder,TRUE,TRUE
Diocese of Evansville,"4200 N. Kentucky Avenue, P.O. Box 4169",Evansville,IN,https://www.evdio.org/,https://www.evdio.org/parishes-map.html,,FALSE
Diocese of Fort Wayne-South Bend,"915 South Clinton, P.O. Box 390",Fort Wayne,IN,http://www.diocesefwsb.org/,https://diocesefwsb.org/find?show=parish,,FALSE
Diocese of Gary,9292 Broadway,Merrillville,IN,http://www.dcgary.org/,https://dcgary.org/find-a-church,,FALSE
Diocese of Lafayette in Indiana,P.O. Box 260,Lafayette,IN,http://www.dol-in.org/,https://www.dol-in.org/parishfinder,TRUE,FALSE
Archdiocese of Dubuque,1229 Mt. Loretta Avenue,Dubuque,IA,https://www.dbqarch.org/,https://dbqarch.org/parishfinder,TRUE,FALSE
Diocese of Davenport,780 W. Central Park Av.,Davenport,IA,http://www.davenportdiocese.org/,https://www.davenportdiocese.org/parishfinder,TRUE,FALSE
Diocese of Des Moines,601 Grand Avenue,Des Moines,IA,http://www.dmdiocese.org/,https://www.dmdiocese.org/worship/parishes-and-mass-times,,FALSE
Diocese of Sioux City,"P.O. Box 3379, 1821 Jackson Street",Sioux City,IA,http://www.scdiocese.org/,https://www.scdiocese.org/parishfinder,TRUE,FALSE
Archdiocese of Kansas City in Kansas,12615 Parallel Parkway,Kansas City,KS,http://www.archkck.org/,https://archkck.org/parish-school/catholic-parishes/find-your-parish/,,FALSE
Diocese of Dodge City,P.O. Box 137,Dodge City,KS,http://www.dcdiocese.org/,https://www.dcdiocese.org/directory/parishes/,,FALSE
Diocese of Salina,103 North Ninth Street,Salina,KS,http://www.salinadiocese.org/,https://salinadiocese.org/find-a-parish/,,FALSE
Diocese of Wichita,424 N. Broadway,Wichita,KS,http://www.catholicdioceseofwichita.org/,https://catholicdioceseofwichita.org/,,FALSE
Archdiocese of Louisville,"Pastoral Center, 3940 Poplar Level Road",Louisville,KY,http://www.archlou.org/,https://www.archlou.org/parishes/find-a-parish/,,FALSE
Diocese of Covington,1125 Madison Avenue,Covington,KY,http://www.covingtondiocese.org/,https://covdio.org/findparishes/,,FALSE
Diocese of Lexington,1310 W. Main Street,Lexington,KY,http://www.cdlex.org/,https://cdlex.org/parish-finder/,,FALSE
Diocese of Owensboro,600 Locust Street,Owensboro,KY,http://www.rcdok.org/,https://owensborodiocese.org/find-a-parish/,,FALSE
Archdiocese of New Orleans,7887 Walmsley Avenue,New Orleans,LA,http://www.arch-no.org/,https://www.arch-no.org/parishfinder,TRUE,FALSE
Diocese of Alexandria,"St. Joseph Catholic Ctr., 4400 Coliseum Boulevard",Alexandria,LA,http://www.diocesealex.org/,https://www.diocesealex.org/find-a-parish/parishes-by-deanery/,,FALSE
Diocese of Baton Rouge,P.O. Box 2028,Baton Rouge,LA,http://www.diobr.org/,https://www.diobr.org/parishfinder,TRUE,FALSE
Diocese of Houma-Thibodaux,2779 Highway 311,Schriever,LA,http://www.htdiocese.org/,https://www.htdiocese.org/parishfinder,TRUE,FALSE
Diocese of Lafayette in Louisiana,1408 Carmel Drive,Lafayette,LA,http://www.diolaf.org/,https://www.diolaf.org/parishfinder,TRUE,FALSE
Diocese of Lake Charles,414 Iris Street,Lake Charles,LA,http://www.lcdiocese.org/,,,FALSE
Diocese of Shreveport,3500 Fairfield Avenue,Shreveport,LA,http://www.dioshpt.org/,https://www.dioshpt.org/find-a-parish/,,FALSE
Diocese of Portland in Maine,510 Ocean Avenue,Portland,ME,http://www.portlanddiocese.net/,https://portlanddiocese.org/parishfinder,,FALSE
Archdiocese of Baltimore,320 Cathedral Street,Baltimore,MD,http://www.archbalt.org/,https://www.archbalt.org/parishes/directory-of-parishes-and-mass-times/,,FALSE
Eparchy of Newton,3 VFW Parkway,West Roxbury,MA,https://www.melkite.org/,https://melkite.org/parish-locator,,FALSE
Archdiocese of Boston,66 Brooks Drive,Braintree,MA,http://www.bostoncatholic.org/,https://www.bostoncatholic.org/parish-mass-listings,,FALSE
Diocese of Fall River,450 Highland Avenue,Fall River,MA,http://www.fallriverdiocese.org/,,,FALSE
"Diocese of Springfield, Massachusetts",P.O. Box 1730,Springfield,MA,http://www.diospringfield.org/,https://www.diospringfield.org/parishfinder,TRUE,FALSE
Diocese of Worcester,49 Elm Street,Worcester,MA,http://www.worcesterdiocese.org/,https://www.worcesterdiocese.org/parishfinder,TRUE,FALSE
Chaldean Eparchy of Saint Thomas the Apostle,25603 Berg Road,Southfield,MI,https://chaldeanchurch.org/,https://chaldeanchurch.org/churches/,,FALSE
Syriac Catholic Diocese of Our Lady of Deliverance in the United States,25600 Drake Road,Farmington Hills,MI,http://www.syriaccatholic.us/,,,FALSE
Archdiocese of Detroit,12 State Street,Detroit,MI,https://www.aod.org/,,,FALSE
